Ragione Sociale;Data contabile;Data valuta;Banca;Rapporto;Importo;Divisa;Descrizione;Categoria/sottocategoria;Hashtag
CERALDI GROUP S.R.L.;02/01/2025;31/12/2024;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-704,7;EUR;PRELIEVO ASSEGNO - DM 03047 CRA: 24000155021511 NUM: 0208768641;Fornitori - Generico;
CERALDI GROUP S.R.L.;02/01/2025;02/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1;EUR;COMMISSIONI - Comm.sdd: C063040000000000F88724;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;02/01/2025;02/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-559,77;EUR;ADDEBITO DIRETTO SDD - SDD CORE: C063040000000000F88724 ARVAL SERVICE LEASE ITALIA SPA;Servizi - Noleggi;
CERALDI GROUP S.R.L.;02/01/2025;02/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;1530,9;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 31/12/24 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;02/01/2025;02/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-32,4;EUR;STORNO SCRITTURE - NUMIA-PGBNT DEL 24/12/24 PDV 3757283/00012 CERALDI CAFFE' NA;Operazioni Finanziarie - Rimborsi a clienti;
CERALDI GROUP S.R.L.;02/01/2025;02/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;233,2;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 31/12/24 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;03/01/2025;03/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-25,14;EUR;IMP. BOLLO CC/LR - DA 01/10/2024 A 31/12/2024;Tasse - Imposte e contributi;
CERALDI GROUP S.R.L.;03/01/2025;03/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;128,6;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 02/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;03/01/2025;03/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;473,6;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 02/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;03/01/2025;03/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-16,5;EUR;STORNO OPERAZ. P.O.S - NUMIA-INTER DEL 02/01/25 PDV 3757283/00011 CERALDI CAFFE NA;Operazioni Finanziarie - Rimborsi a clienti;
CERALDI GROUP S.R.L.;03/01/2025;03/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;801,5;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 02/01/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;03/01/2025;03/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;251,9;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 02/01/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-640;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B13921643/90489950 FAVORE Russo Carmine - ADD.TOT - Russo stip 10 2024;Risorse Umane - Salari e stipendi;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1500;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B13924091/90494162 FAVORE Vespa Vincenzo - ADD.TOT - Vespa saldo stip 2024;Risorse Umane - Salari e stipendi;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - NS RIF. MB0B13709753 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - NS RIF. MB0B13709496 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1407;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B13919777/90486535 FAVORE Vespa Vincenzo - ADD.TOT - Vespa stip 12 2024;Risorse Umane - Salari e stipendi;
CERALDI GROUP S.R.L.;07/01/2025;07/01/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1513;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B13923640/90493393 FAVORE GUARINO GIULIANO - ADD.TOT - Guarino stip 9-10 2024;Risorse Umane - Salari e stipendi;
